0.0000	-0.390332	-0.015973	172.793198
0.0100	-0.395214	-0.020012	172.795029
0.0200	-0.394712	-0.016896	172.790146
0.0300	-0.397834	-0.016292	172.782944
0.0400	-0.396364	-0.021991	172.786041
0.0500	-0.391288	-0.019315	172.779282
0.0600	-0.398873	-0.025327	172.772491
0.0700	-0.399758	-0.025934	172.774063
0.0800	-0.395322	-0.024150	172.755981
0.0900	-0.393334	-0.033299	172.756882
0.1000	-0.387270	-0.029368	172.752319
0.1100	-0.386983	-0.029314	172.746078
0.1200	-0.389682	-0.034481	172.749374
0.1300	-0.388493	-0.030374	172.742004
0.1400	-0.384886	-0.037102	172.744995
0.1500	-0.382936	-0.033546	172.745224
0.1600	-0.381662	-0.036355	172.744141
0.1700	-0.382022	-0.045560	172.750168
0.1800	-0.381220	-0.044154	172.729523
0.1900	-0.386863	-0.039129	172.733215
0.2000	-0.386826	-0.040129	172.721756
0.2100	-0.383623	-0.046395	172.725327
0.2200	-0.380146	-0.045472	172.722443
0.2300	-0.379573	-0.049014	172.716248
0.2400	-0.380002	-0.050601	172.718109
0.2500	-0.376850	-0.056132	172.719788
0.2600	-0.379372	-0.055805	172.722275
0.2700	-0.376697	-0.048166	172.727386
0.2800	-0.377513	-0.050039	172.716660
0.2900	-0.368606	-0.049071	172.724640
0.3000	-0.355576	-0.054941	172.719177
0.3100	-0.351625	-0.055038	172.727402
0.3200	-0.346691	-0.055810	172.722549
0.3300	-0.349242	-0.040251	172.723206
0.3400	-0.349398	-0.031555	172.718842
0.3500	-0.353811	-0.029194	172.707764
0.3600	-0.353059	-0.039791	172.708313
0.3700	-0.351971	-0.042907	172.706451
0.3800	-0.358202	-0.042655	172.702698
0.3900	-0.363917	-0.037300	172.690247
0.4000	-0.360322	-0.030946	172.689178
0.4100	-0.357576	-0.019984	172.676498
0.4200	-0.364155	-0.022766	172.667236
0.4300	-0.366250	-0.022666	172.661850
0.4400	-0.365046	-0.021441	172.659683
0.4500	-0.368909	-0.026965	172.656494
0.4600	-0.360009	-0.036467	172.665283
0.4700	-0.364206	-0.034035	172.673889
0.4800	-0.365556	-0.033331	172.666870
0.4900	-0.362999	-0.039916	172.675751
0.5000	-0.351235	-0.043295	172.678711
0.5100	-0.359433	-0.042960	172.670212
0.5200	-0.353087	-0.046760	172.674744
0.5300	-0.349375	-0.042926	172.680649
0.5400	-0.360547	-0.042149	172.679626
0.5500	-0.352193	-0.038605	172.676468
0.5600	-0.347378	-0.027931	172.675552
0.5700	-0.341778	-0.029091	172.673233
0.5800	-0.341040	-0.033191	172.673981
0.5900	-0.335906	-0.036776	172.673279
0.6000	-0.336032	-0.042570	172.671906
0.6100	-0.338785	-0.038703	172.665085
0.6200	-0.344500	-0.026635	172.663589
0.6300	-0.346255	-0.028453	172.653076
0.6400	-0.329504	-0.022629	172.651749
0.6500	-0.325655	-0.018308	172.653152
0.6600	-0.313579	-0.018822	172.649780
0.6700	-0.307700	-0.026554	172.650421
0.6800	-0.307696	-0.034917	172.647232
0.6900	-0.305512	-0.038326	172.656143
0.7000	-0.309767	-0.034835	172.655579
0.7100	-0.317496	-0.036679	172.658127
0.7200	-0.322132	-0.025817	172.653580
0.7300	-0.317665	-0.025797	172.659729
0.7400	-0.321082	-0.028010	172.655045
0.7500	-0.316267	-0.023961	172.652023
0.7600	-0.314016	-0.015525	172.652649
0.7700	-0.308448	-0.017534	172.668274
0.7800	-0.306609	-0.020181	172.665939
0.7900	-0.299587	-0.011808	172.668533
0.8000	-0.301197	-0.010129	172.669754
0.8100	-0.300146	-0.005944	172.680527
0.8200	-0.306204	-0.001534	172.683685
0.8300	-0.311682	-0.008341	172.689285
0.8400	-0.312829	-0.009684	172.688492
0.8500	-0.312894	-0.003651	172.685135
0.8600	-0.318940	-0.002751	172.670807
0.8700	-0.319512	-0.005005	172.669174
0.8800	-0.319655	-0.007419	172.664307
0.8900	-0.315647	-0.006318	172.658493
0.9000	-0.318931	-0.011200	172.648727
0.9100	-0.314799	-0.012469	172.642670
0.9200	-0.314103	-0.009842	172.644333
0.9300	-0.323269	-0.003892	172.634109
0.9400	-0.326279	-0.000009	172.633835
0.9500	-0.318270	0.002909	172.639847
0.9600	-0.323989	-0.007381	172.638962
0.9700	-0.327401	-0.009954	172.642975
0.9800	-0.325212	-0.015025	172.639267
0.9900	-0.323089	-0.003746	172.642929
1.0000	-0.332047	-0.008121	172.633087
1.0100	-0.331198	-0.012082	172.642776
1.0200	-0.328884	-0.016145	172.627884
1.0300	-0.330668	-0.019381	172.616531
1.0400	-0.337485	-0.024098	172.620087
1.0500	-0.343090	-0.021495	172.623093
1.0600	-0.338749	-0.012541	172.617096
1.0700	-0.339656	-0.013627	172.624802
1.0800	-0.338800	-0.004975	172.622437
1.0900	-0.338805	-0.006343	172.621490
1.1000	-0.341249	-0.013081	172.619644
1.1100	-0.347370	-0.014470	172.625854
1.1200	-0.342835	-0.019599	172.639954
1.1300	-0.347018	-0.028881	172.641785
1.1400	-0.348920	-0.022684	172.638672
1.1500	-0.345410	-0.018755	172.631454
1.1600	-0.349760	-0.023065	172.635117
1.1700	-0.348617	-0.018439	172.641769
1.1800	-0.347216	-0.013094	172.639877
1.1900	-0.350373	-0.020336	172.639206
1.2000	-0.355537	-0.028842	172.643890
1.2100	-0.356222	-0.023073	172.651443
1.2200	-0.364978	-0.018947	172.650635
1.2300	-0.371583	-0.021477	172.638382
1.2400	-0.368730	-0.027322	172.639420
1.2500	-0.360111	-0.038098	172.631500
1.2600	-0.358799	-0.033395	172.622925
